城市,年份,地区生产总值（当年价格）(亿元),第一产业增加值(亿元),第二产业增加值(亿元),第三产业增加值(亿元),地方一般公共预算支出(亿元),地方一般公共预算收入(亿元),年末户籍人口(万人),城镇非私营单位在岗职工平均工资(元),住户存款余额(亿元),房地产开发投资额(亿元),商品房销售面积(万平方米),商品房平均销售价格(元/平方米),住宅商品房销售面积(万平方米),住宅商品房平均销售价格(元/平方米)
宁波,2012年,6582.2,268.5,3516.8,2796.9,828.44,725.5,577.71,56255.0,4175.96,884.35,590.22,11239.84,458.74,11385.25
宁波,2013年,7128.87,276.35,3741.72,3110.8,939.89,792.81,580.15,63362.0,4562.36,1123.14,730.09,11100.0,581.95,11405.0
宁波,2014年,7610.28,275.7,3980.41,3354.17,1000.86,860.61,583.78,70228.0,4780.31,1328.14,726.44,10745.0,595.2,10890.0
宁波,2015年,8003.61,284.68,4098.22,3620.71,1252.64,1006.41,586.57,74989.0,5302.84,1228.84,1007.21,10708.0,846.92,11022.0
宁波,2016年,8686.49,302.29,4455.3,3928.9,1289.26,1114.54,590.96,83656.0,5689.44,1270.33,1336.95,11228.0,1126.06,11738.0
宁波,2017年,9842.1,305.8,5119.4,4416.8,1410.6,1245.29,596.93,91705.0,5902.68,1374.47,1543.64,13324.0,1283.72,14145.0
宁波,2018年,10745.46,305.96,5507.53,4931.97,1594.1,1379.69,602.96,102325.0,6561.26,1587.47,1624.38,15142.05,1299.17,16201.58
宁波,2019年,11985.0,322.27,5782.92,5879.93,1767.89,1468.51,608.47,110878.0,7475.47,1703.59,1714.64,15065.0,1438.89,15956.0
宁波,2020年,12409.0,339.0,5694.0,6376.0,1742.09,1510.84,,111286.0,8522.07,1818.88,1858.2,16411.0,1571.44,17657.0
宁波,2021年,14594.92,356.16,6997.17,7241.59,1944.42,1723.14,,127011.0,9387.31,2075.59,1606.23,18782.0,1280.8,21152.0
广州,2012年,13551.2,213.8,4720.7,8616.8,1343.65,1102.4,822.3,67515.0,11310.69,1370.45,1333.13,13162.67,1128.51,12000.88
广州,2013年,15420.14,228.87,5227.38,9963.9,1386.13,1141.8,832.31,73678.0,12496.69,1572.43,1699.98,15330.0,1398.47,13954.0
广州,2014年,16706.87,218.7,5590.97,10897.2,1436.22,1243.1,842.42,74246.0,12825.64,1816.15,1540.02,15719.0,1196.23,14739.0
广州,2015年,18100.41,226.84,5726.08,12147.49,1727.72,1349.47,854.19,81171.0,13602.38,2137.59,1653.07,14612.0,1344.86,14083.0
广州,2016年,19547.44,238.48,5750.86,13556.15,1943.75,1393.64,870.49,89096.0,13995.79,2540.85,1949.1,16384.0,1624.01,16346.0
广州,2017年,21503.15,233.49,6015.29,15254.37,2186.01,1536.74,897.87,98612.0,14625.63,2702.89,1757.75,17633.0,1367.48,17685.0
广州,2018年,22859.35,223.44,6234.07,16401.84,2506.18,1634.22,927.69,111839.0,16042.06,2701.93,1550.28,20013.6,1138.2,21581.78
广州,2019年,23629.0,251.37,6454.0,16923.22,2865.33,1699.04,953.72,123498.0,17980.56,3102.26,1464.64,22363.0,1106.58,24015.0
广州,2020年,25019.0,288.0,6590.0,18141.0,2952.65,1722.79,,135138.0,20774.13,3293.95,1539.4,25056.0,1223.21,27112.0
广州,2021年,28231.97,306.41,7722.67,20202.89,3021.18,1884.26,,144288.0,22768.53,3626.44,1736.31,28034.0,1371.01,30580.0
成都,2012年,8138.9,348.1,3765.6,4025.2,983.85,780.9,1173.3,48302.0,7060.03,1889.23,2844.09,7288.24,2424.61,6678.46
成都,2013年,9108.89,353.17,4181.49,4574.23,1161.75,898.54,1187.99,56581.0,8151.59,2111.25,2950.13,7197.0,2555.81,6708.0
成都,2014年,10056.59,357.07,4508.53,5190.99,1340.0,1025.17,1210.74,63201.0,8976.94,2215.53,2951.3,7032.0,2476.25,6536.0
成都,2015年,10801.16,373.15,4723.49,5704.52,1468.42,1157.64,1228.05,69123.0,9922.18,2435.25,2997.43,6875.0,2447.13,6584.0
成都,2016年,12170.23,474.64,5231.98,6463.61,1595.89,1175.41,1398.9,74408.0,10808.0,2638.89,3928.77,7504.0,3279.17,7377.0
成都,2017年,13889.39,500.87,5998.19,7390.34,1756.66,1275.53,1435.33,79292.0,11970.84,2492.65,3925.91,8733.0,2976.47,8595.0
成都,2018年,15342.77,522.59,6516.19,8303.99,1837.42,1424.16,1476.05,88011.0,13141.47,2273.16,3682.52,9866.6,2660.02,9783.16
成都,2019年,17013.0,612.18,5244.62,11155.86,2006.95,1482.96,1500.07,97519.0,14900.55,2611.71,3543.28,10867.0,2564.86,11729.0
成都,2020年,17717.0,655.0,5419.0,11643.0,2159.48,1520.38,,104463.0,17084.99,2847.64,3680.3,12148.0,2826.74,13231.0
成都,2021年,19916.98,582.79,6114.34,13219.85,2237.69,1697.63,,113853.0,19020.46,3142.38,3644.11,12858.0,2614.48,14713.0
拉萨,2012年,260.1,10.8,90.7,158.7,106.9,34.36,50.0,65150.0,,,,,,
拉萨,2013年,304.87,11.73,107.56,185.58,131.92,50.16,60.12,69403.0,,,,,,
拉萨,2014年,347.45,12.94,127.75,206.76,169.49,64.79,52.73,72468.0,559.28,,,,,
拉萨,2015年,376.73,13.8,140.95,221.98,200.4,62.42,53.03,114582.0,341.19,,,,,
拉萨,2016年,424.95,15.13,162.8,247.02,248.11,70.79,53.78,111009.0,408.87,44.54,,,,
拉萨,2017年,479.25,17.54,189.38,272.33,257.47,89.63,54.36,111092.0,442.69,,,,,
拉萨,2018年,540.78,18.29,229.65,292.84,300.12,110.1,55.44,126936.0,461.42,,,,,
拉萨,2019年,618.0,20.1,236.14,361.64,365.41,117.04,55.88,127057.0,471.78,,,,,
拉萨,2020年,678.0,23.0,290.0,365.0,349.66,107.26,,125998.0,530.61,,,,,
拉萨,2021年,741.84,24.45,278.08,439.31,318.38,106.94,,141577.0,557.07,,,,,
昆明,2012年,3011.1,159.2,1378.5,1473.5,525.54,378.4,543.48,45094.0,2967.02,919.07,1051.35,5744.68,917.73,5404.9
昆明,2013年,3415.31,169.68,1537.11,1708.52,585.76,450.75,546.79,51119.0,3355.28,1291.71,1211.2,5795.0,1041.35,5615.0
昆明,2014年,3712.99,181.56,1538.53,1992.91,593.66,477.97,550.5,58153.0,3495.8,1492.62,1289.37,6384.0,978.23,6067.0
昆明,2015年,3968.01,188.1,1586.38,2193.52,615.49,502.22,555.57,62033.0,3429.53,1451.31,1305.03,7393.0,1008.25,7178.0
昆明,2016年,4300.08,200.38,1660.26,2439.43,688.4,530.0,559.79,68375.0,3540.71,1530.5,1520.87,7030.0,1128.89,6851.0
昆明,2017年,4857.64,210.13,1865.97,2781.54,775.9,560.86,562.99,76350.0,4431.4,1683.33,1827.25,8010.0,1387.77,8197.0
