positionId,positionName,companyFullName,companyShortName,companySize,financeStage,industryField,companyLabelList,firstType,positionLables,industryLables,createTime,city,district,businessZones,salary,salaryMonth,workYear,jobNature,education,positionAdvantage
8087285,数据建模工程师,北京中关村科金技术有限公司,中科金,2000人以上,B轮,科技金融,"['绩效奖金', '带薪年假', '午餐补助', '定期体检']",开发|测试|运维类,['数据建模'],['数据建模'],2021/4/27 16:51,北京,海淀区,,20k-40k,0,5-10年,全职,本科,五险一金 试用期全额
8443992,数据分析师,京东数字科技控股有限公司,京东科技,2000人以上,上市公司,科技金融,"['供应链金融', '消费金融', '众筹业务', '支付业务']",产品|需求|项目类,['数据分析'],[],2021/4/26 19:29,北京,大兴区,,30k-50k,14,不限,全职,本科,待遇好
8205369,数据分析师,微梦创科网络科技（中国）有限公司,微博,2000人以上,上市公司,社交媒体,"['年底双薪', '专项奖金', '股票期权', '五险一金']",产品|需求|项目类,['数据分析'],[],2021/4/26 9:53,北京,海淀区,['马连洼'],9k-18k,0,1-3年,全职,本科,大平台，发展好，工作环境赞
7698603,数据分析师,国美金控投资有限公司,国美金控,2000人以上,未融资,科技金融,"['岗位晋升', '扁平管理', '五险一金', '互联网金融']",产品|需求|项目类,['移动互联网'],['移动互联网'],2021/4/26 10:57,北京,朝阳区,"['三元桥', '燕莎', '亮马桥']",13k-25k,14,3-5年,全职,本科,给风控提供数据分析
8539369,数据分析师,北京当当网信息技术有限公司,当当网,2000人以上,上市公司,电商平台,"['年底双薪', '节日礼物', '技能培训', '绩效奖金']",产品|需求|项目类,['电商平台'],['电商平台'],2021/4/26 10:01,北京,朝阳区,"['左家庄', '柳芳', '国展']",15k-25k,14,5-10年,全职,本科,弹性工作时间，每年2次调薪机会
7858611,大数据分析工程师,北京道口金科科技有限公司,道口金科,50-150人,A轮,"科技金融,IT技术服务｜咨询",[],开发|测试|运维类,"['金融', 'Python', 'Spark', '数据仓库']","['金融', 'Python', 'Spark', '数据仓库']",2021/4/27 9:37,北京,海淀区,"['五道口', '清华大学', '中关村']",15k-30k,13,3-5年,全职,本科,环境舒适，弹性时间，五险一金，专家交流
8146850,bi数据分析师,北京博乐科技有限公司,博乐科技,500-2000人,不需要融资,游戏,"['节日礼物', '年底双薪', '绩效奖金', '岗位晋升']",开发|测试|运维类,"['游戏', 'BI数据分析', 'SQLServer', '数据挖掘', 'Python']","['游戏', 'BI数据分析', 'SQLServer', '数据挖掘', 'Python']",2021/4/26 16:02,北京,朝阳区,,15k-20k,0,不限,全职,本科,"发展空间大,奖金多,氛围轻松,学习机会多"
8067705,数据分析专员,北京猿力未来科技有限公司,猿辅导,2000人以上,D轮及以上,在线教育,"['股票期权', '年底双薪', '五险一金', '带薪年假']",产品|需求|项目类,"['商业', '数据分析', 'BI']",[],2021/4/25 18:41,北京,朝阳区,['望京'],13k-18k,14,1-3年,全职,本科,六险一金，大牛团队，出国旅游
7582838,数据分析师,北京猿力未来科技有限公司,猿辅导,2000人以上,D轮及以上,在线教育,"['股票期权', '年底双薪', '五险一金', '带薪年假']",产品|需求|项目类,"['工具软件', '数据分析', '用户研究']","['工具软件', '数据分析', '用户研究']",2021/4/25 18:41,北京,朝阳区,['望京'],15k-30k,14,1-3年,全职,本科,六险一金，大牛团队，出国旅游
6126309,高级数据分析师,探探科技（北京）有限公司,探探,150-500人,D轮及以上,社交平台,"['股票期权', '带薪年假', '岗位晋升', '扁平管理']",产品|需求|项目类,['SQL'],[],2021/4/25 18:58,北京,朝阳区,"['朝外', '建国门', '东大桥']",25k-45k,0,3-5年,全职,本科,牛人云集、机会多，三餐免费，
8671704,数据分析专家,青岛伟东云教育发展有限公司,伟东云教育,500-2000人,A轮,"移动互联网,教育","['免费班车', '带薪年假', '绩效奖金', '午餐补助']",产品|需求|项目类,['教育｜培训'],['教育｜培训'],2021/4/25 18:26,北京,海淀区,['北下关'],25k-35k,0,3-5年,全职,本科,一切皆有可能
